"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"ASV_0061" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Phocaeicola" NA
"ASV_0062" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Turicibacter" NA
"ASV_0063" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0064" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Muribaculaceae" "Paramuribaculum" NA
"ASV_0065" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0066" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0067" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Agathobacter" NA
"ASV_0068" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0069" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas" "aeruginosa/alcaligenes/alcaliphila/anguilliseptica/azelaica/balearica/citronellolis/delhiensis/denitrificans/fluorescens/fragi/guezennei/knackmussii/mendocina/mosselii/nitroreducens/otitidis/panipatensis/peli/pseudoalcaligenes/putida/resinovorans/sp/stutzeri/thermaerum/tropicalis"
"ASV_0070" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0071" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Eubacteriaceae" "Eubacterium" NA
"ASV_0072" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Longibaculum" NA
"ASV_0073" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "thetaiotaomicron"
"ASV_0074" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptococcaceae_1" "Peptococcus" NA
"ASV_0075" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0076" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Intestinimonas" NA
"ASV_0077" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Enterococcaceae" "Enterococcus" "durans/faecalis/faecium"
"ASV_0078" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiales_Incertae_Sedis_XIII" "Ihubacter" NA
"ASV_0079" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0080" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0081" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0082" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Ruminococcus" NA
"ASV_0083" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0084" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0085" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0086" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Monoglobus" NA
"ASV_0087" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Longicatena" NA
"ASV_0088" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Barnesiellaceae" "Barnesiella" NA
"ASV_0089" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Clostridium_XVIII" "cocleatum"
"ASV_0090" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfovibrionales" "Desulfovibrionaceae" NA NA
"ASV_0091" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0092" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0093" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0094" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0095" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Muribaculaceae" "Paramuribaculum" NA
"ASV_0096" "Bacteria" "Firmicutes" NA NA NA NA NA
"ASV_0097" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0098" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "Romboutsia" NA
"ASV_0099" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "xylanisolvens"
"ASV_0100" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Streptococcaceae" "Streptococcus" NA
"ASV_0101" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Staphylococcaceae" "Staphylococcus" "aureus"
"ASV_0102" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Holdemanella" NA
"ASV_0103" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0104" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacterales" "Enterobacteriaceae" "Salmonella" "enterica"
"ASV_0105" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0106" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Eubacteriaceae" "Eubacterium" NA
"ASV_0107" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0108" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Stomatobaculum" NA
"ASV_0109" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Muribaculaceae" "Paramuribaculum" NA
"ASV_0110" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Enterococcaceae" "Enterococcus" NA
"ASV_0111" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Holdemanella" "biformis"
"ASV_0112" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0113" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Agathobaculum" NA
"ASV_0114" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Rikenellaceae" "Alistipes" "obesi"
"ASV_0115" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0116" "Bacteria" NA NA NA NA NA NA
"ASV_0117" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium" "pseudolongum"
"ASV_0118" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0119" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Lawsonibacter" NA
"ASV_0120" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Parabacteroides" "merdae"
"ASV_0121" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0122" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0123" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Clostridium_XVIII" "saccharogumia"
"ASV_0124" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "stercoris"
"ASV_0125" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Coprobacillus" "cateniformis"
"ASV_0126" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0127" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "Romboutsia" NA
"ASV_0128" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Pseudoflavonifractor" NA
"ASV_0129" "Bacteria" NA NA NA NA NA NA
"ASV_0130" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Intestinimonas" NA
"ASV_0131" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0132" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Dysosmobacter" NA
"ASV_0133" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0134" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Faecalibacterium" "prausnitzii"
"ASV_0135" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "ovatus"
"ASV_0136" "Bacteria" NA NA NA NA NA NA
"ASV_0137" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0138" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0139" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotellamassilia" NA
"ASV_0140" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Longibaculum" NA
"ASV_0141" "Bacteria" "Firmicutes" "Clostridia" NA NA NA NA
"ASV_0142" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Odoribacteraceae" "Odoribacter" NA
"ASV_0143" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Staphylococcaceae" "Staphylococcus" "epidermidis/haemolyticus/petrasii"
"ASV_0144" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Odoribacteraceae" "Odoribacter" NA
"ASV_0145" "Bacteria" "Firmicutes" NA NA NA NA NA
"ASV_0146" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" NA
"ASV_0147" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" NA
"ASV_0148" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Ruthenibacterium" NA
"ASV_0149" "Bacteria" "Proteobacteria" "Deltaproteobacteria" NA NA NA NA
"ASV_0150" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0151" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfovibrionales" "Desulfovibrionaceae" NA NA
"ASV_0152" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" NA NA
"ASV_0153" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0154" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Anaerotruncus" NA
"ASV_0155" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0156" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Anaerotruncus" NA
"ASV_0157" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptococcaceae_1" "Peptococcus" NA
"ASV_0158" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0159" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Odoribacteraceae" "Odoribacter" NA
"ASV_0160" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0161" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Frisingicoccus" NA
"ASV_0162" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Anaerofilum" NA
"ASV_0163" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Odoribacteraceae" "Odoribacter" NA
"ASV_0164" "Bacteria" "Firmicutes" "Clostridia" NA NA NA NA
"ASV_0165" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" NA NA
"ASV_0166" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0167" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Verrucomicrobiales" "Akkermansiaceae" "Akkermansia" NA
"ASV_0168" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Parabacteroides" "merdae"
"ASV_0169" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0170" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillaceae_2" NA NA
"ASV_0171" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0172" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Colidextribacter" NA
"ASV_0173" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Bradyrhizobiaceae" "Bradyrhizobium" NA
"ASV_0174" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0175" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Holdemania" "filiformis"
"ASV_0176" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Enterocloster" NA
"ASV_0177" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Parabacteroides" NA
"ASV_0178" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0179" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Streptococcaceae" "Streptococcus" NA
"ASV_0180" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Anaerotignum" NA
"ASV_0181" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Marvinbryantia" NA
"ASV_0182" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" NA
"ASV_0183" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0184" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0185" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacterales" "Enterobacteriaceae" "Escherichia/Shigella" NA
"ASV_0186" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "Romboutsia" NA
"ASV_0187" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Rikenellaceae" "Mucinivorans" NA
"ASV_0188" "Bacteria" "Synergistetes" "Synergistia" "Synergistales" "Synergistaceae" NA NA
"ASV_0189" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0190" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0191" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" NA NA
"ASV_0192" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Longicatena" NA
"ASV_0193" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Oscillibacter" NA
"ASV_0194" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0195" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" NA NA
"ASV_0196" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0197" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Odoribacteraceae" "Odoribacter" "laneus"
"ASV_0198" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Acutalibacter" NA
"ASV_0199" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0200" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Burkholderiaceae" "Ralstonia" "detusculanense/insidiosa/mannitolilytica/pickettii/solanacearum/syzygii"
"ASV_0201" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "Romboutsia" NA
"ASV_0202" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0203" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptococcaceae_1" NA NA
"ASV_0204" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0205" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0206" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Intestinimonas" NA
"ASV_0207" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Clostridium_XVIII" "saccharogumia"
"ASV_0208" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Clostridium_XVIII" "cocleatum"
"ASV_0209" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0210" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Odoribacteraceae" "Odoribacter" NA
"ASV_0211" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelatoclostridiaceae" "Erysipelatoclostridium" NA
"ASV_0212" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" NA
"ASV_0213" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Anaerotignum" NA
"ASV_0214" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Enterococcaceae" "Enterococcus" "casseliflavus/faecium/gallinarum/saccharolyticus"
"ASV_0215" "Bacteria" "Firmicutes" "Clostridia" NA NA NA NA
"ASV_0216" "Bacteria" NA NA NA NA NA NA
"ASV_0217" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0218" "Bacteria" "Firmicutes" "Bacilli" NA NA NA NA
"ASV_0219" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Intestinimonas" NA
"ASV_0220" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Faecalicatena" NA
"ASV_0221" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0222" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Faecalibacillus" NA
"ASV_0223" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0224" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0225" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Aerococcaceae" NA NA
"ASV_0226" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0227" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Desnuesiella" NA
"ASV_0228" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Roseburia" NA
"ASV_0229" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Mediterraneibacter" NA
